// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B492A5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
14665	9.222172	-2.163635	-1.690652	0.069169	0.080534	-0.191004	-127.182479	-72.806927	69.334323			
14666	9.220485	-2.164009	-1.648974	0.054205	0.118802	-0.200074	-127.063978	-72.761730	69.235442			
14667	9.204870	-2.181635	-1.617995	0.029518	0.135320	-0.216445	-126.931557	-72.721005	69.117246			
14668	9.183403	-2.183721	-1.604676	0.026803	0.144227	-0.238922	-126.806041	-72.673184	69.007362			
14669	9.228062	-2.167358	-1.596291	0.049619	0.176463	-0.201803	-126.670578	-72.626157	68.890440			
14670	9.239519	-2.160827	-1.585693	0.059590	0.197351	-0.194486	-126.542061	-72.573636	68.781849			
14671	9.231749	-2.146963	-1.562020	0.066949	0.226719	-0.209632	-126.397886	-72.524125	68.656903			
14672	9.243254	-2.140733	-1.551151	0.076921	0.247606	-0.202312	-126.264552	-72.472989	68.540440			
14673	9.274474	-2.133472	-1.511670	0.074791	0.297239	-0.181552	-126.110156	-72.423782	68.406002			
14674	9.264240	-2.168506	-1.462054	0.027791	0.322702	-0.191812	-125.951724	-72.373694	68.278372			
14675	9.372758	-2.184036	-1.431461	0.021782	0.374325	-0.090184	-125.751242	-72.328201	68.119162			
14676	9.490246	-2.158682	-1.365311	0.032651	0.477860	0.003591	-125.534129	-72.281704	67.952674			
14677	9.556118	-2.125912	-1.240810	0.013207	0.616364	0.036090	-125.274846	-72.245319	67.753359			
14678	9.635386	-2.093964	-1.186277	0.033534	0.699647	0.093974	-124.998233	-72.215493	67.537711			
14679	9.714556	-2.070694	-1.170960	0.069051	0.743788	0.160953	-124.690202	-72.197740	67.285000			
14680	9.697934	-2.016334	-1.130318	0.105486	0.795711	0.124558	-124.367831	-72.188590	67.015193			
14681	9.667557	-1.978215	-1.098877	0.132140	0.825857	0.080897	-124.028233	-72.185840	66.728007			
14682	9.662026	-1.963117	-1.061697	0.139329	0.855856	0.065766	-123.691507	-72.186174	66.446269			
14683	9.573872	-1.918207	-1.072974	0.187683	0.836408	-0.027240	-123.333917	-72.194222	66.151325			
14684	9.584839	-1.948852	-0.980575	0.128449	0.891232	-0.024027	-122.979160	-72.200867	65.862793			
14685	9.585125	-1.938490	-0.882820	0.098588	0.967277	-0.041999	-122.618557	-72.209217	65.578386			
14686	9.680167	-1.866786	-0.727681	0.098764	1.148572	0.005207	-122.265596	-72.211491	65.319808			
14687	9.798021	-1.735630	-0.528573	0.126002	1.401486	0.052045	-121.898692	-72.217912	65.046812			
14688	10.041783	-1.664600	-0.285919	0.095521	1.693860	0.227818	-121.545646	-72.229098	64.746055			
14689	10.269577	-1.517422	0.028780	0.086510	2.076035	0.358359	-121.173864	-72.260016	64.347350			
14690	10.443699	-1.370792	0.364629	0.061869	2.456199	0.436510	-120.760865	-72.319176	63.806942			
14691	10.524980	-1.227430	0.667545	0.046317	2.773936	0.435748	-120.289235	-72.427927	63.097855			
14692	10.703626	-1.058089	0.977635	0.068766	3.128409	0.524191	-119.747713	-72.582691	62.208822			
14693	10.748769	-0.876158	1.285270	0.094681	3.438656	0.488860	-119.069743	-72.803390	61.079107			
14694	10.711414	-0.588610	1.760091	0.118406	3.906447	0.331463	-118.235204	-73.082395	59.703009			
14695	10.626889	-0.241205	2.154472	0.243041	4.310769	0.136582	-117.209318	-73.430095	58.067696			
14696	10.501317	0.152242	2.688781	0.341802	4.832489	-0.114272	-115.985787	-73.844796	56.165288			
14697	10.433484	0.269495	2.940800	0.377454	4.982196	-0.189176	-114.477396	-74.335107	53.905674			
14698	10.465356	0.503079	3.229889	0.522384	5.224676	-0.187909	-112.658699	-74.883793	51.242681			
14699	10.655863	0.444967	3.085132	0.667628	4.973140	0.090987	-110.709617	-75.462029	48.271321			
