// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4938D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
14665	9.413921	-1.158203	2.473853	-0.380835	0.100661	-0.018397	-32.168057	-75.140137	43.496684			
14666	9.406021	-1.100230	2.422494	-0.342410	0.168469	-0.045058	-32.184287	-75.114185	43.455200			
14667	9.363678	-1.105375	2.416253	-0.342999	0.161043	-0.086690	-32.243512	-75.097521	43.447467			
14668	9.345592	-1.106925	2.434068	-0.360315	0.157686	-0.100048	-32.276962	-75.071491	43.416159			
14669	9.398818	-1.090490	2.450754	-0.370727	0.183998	-0.047349	-32.352837	-75.066037	43.430921			
14670	9.438281	-1.052464	2.379369	-0.300941	0.243739	-0.030037	-32.383285	-75.046347	43.394690			
14671	9.384373	-1.110808	2.367644	-0.288805	0.183468	-0.076722	-32.461047	-75.035690	43.392837			
14672	9.436018	-1.122612	2.316754	-0.226061	0.194300	-0.036328	-32.511044	-75.012627	43.361019			
14673	9.430384	-1.139865	2.348040	-0.255043	0.175696	-0.032666	-32.605798	-75.004371	43.373576			
14674	9.423264	-1.184997	2.311222	-0.210829	0.141593	-0.041333	-32.669566	-74.981395	43.358928			
14675	9.504179	-1.146253	2.247824	-0.143387	0.208615	0.017467	-32.747424	-74.968467	43.362423			
14676	9.520877	-1.152933	2.231620	-0.120549	0.212330	0.030934	-32.776745	-74.937973	43.317462			
14677	9.483593	-1.145785	2.194091	-0.092331	0.223466	-0.014374	-32.847277	-74.916395	43.309817			
14678	9.536435	-1.130046	2.212476	-0.099961	0.249947	0.038362	-32.879685	-74.889357	43.265681			
14679	9.553408	-1.170318	2.200857	-0.078035	0.219525	0.057811	-32.945754	-74.880099	43.255736			
14680	9.630842	-1.115162	2.237547	-0.107133	0.283734	0.132730	-32.946177	-74.865657	43.188029			
14681	9.642780	-1.097381	2.247246	-0.117993	0.302620	0.143821	-32.956483	-74.867486	43.131843			
14682	9.678966	-1.074486	2.281911	-0.145653	0.325601	0.183151	-32.884614	-74.857341	43.004821			
14683	9.782630	-1.120217	2.432349	-0.259562	0.273571	0.322837	-32.763957	-74.857983	42.851939			
14684	9.878013	-1.065729	2.532667	-0.336981	0.323190	0.429739	-32.447097	-74.814512	42.533624			
14685	9.610671	-1.000889	2.336439	-0.196761	0.364059	0.119807	-32.115146	-74.761491	42.175488			
14686	9.462445	-1.041662	2.135218	-0.006758	0.325165	-0.061981	-31.829807	-74.711570	41.839044			
14687	9.489099	-1.046093	2.070878	0.072929	0.331850	-0.049983	-31.625337	-74.678430	41.566834			
14688	9.500949	-1.063659	2.167394	-0.001871	0.298673	-0.014331	-31.399461	-74.643953	41.273050			
14689	9.608303	-1.093624	2.292327	-0.086822	0.265244	0.121716	-31.220470	-74.629144	41.026806			
14690	9.715022	-1.149600	2.348532	-0.098706	0.216159	0.245262	-30.987676	-74.603882	40.722507			
14691	9.686393	-1.235606	2.444133	-0.172805	0.107628	0.251370	-30.781390	-74.594170	40.439209			
14692	9.640730	-1.413792	2.496206	-0.190095	-0.088019	0.243636	-30.532480	-74.582163	40.109875			
14693	9.561076	-1.621116	2.584827	-0.248324	-0.324696	0.215095	-30.300256	-74.590619	39.806879			
14694	9.387021	-1.754521	2.705891	-0.368794	-0.511359	0.092809	-30.011860	-74.593798	39.457752			
14695	9.088095	-1.910749	2.660447	-0.354933	-0.717990	-0.185595	-29.771642	-74.619797	39.150977			
14696	8.707783	-2.044805	2.664272	-0.410244	-0.923523	-0.534549	-29.543995	-74.654216	38.868289			
14697	8.287475	-2.094245	2.789417	-0.611567	-1.071116	-0.906081	-29.345060	-74.723437	38.629526			
14698	7.883623	-1.947403	2.941925	-0.870662	-1.029504	-1.281517	-29.119615	-74.810559	38.397904			
14699	7.681459	-1.725579	3.081284	-1.093024	-0.883408	-1.475926	-28.848069	-74.945422	38.153257			
14700	7.695360	-1.456098	3.367700	-1.419992	-0.683832	-1.434375	-28.393479	-75.103864	37.771490			
14701	7.981659	-1.090842	3.715389	-1.768345	-0.368024	-1.127165	-27.687697	-75.295233	37.176580			
14702	8.538368	-0.771175	3.929415	-1.918607	-0.050994	-0.579334	-26.590473	-75.477085	36.210214			
14703	9.338765	-0.646360	4.039069	-1.877044	0.108700	0.207734	-25.106358	-75.641080	34.859954			
14704	9.910749	-0.476280	3.642505	-1.385706	0.339813	0.660198	-23.233224	-75.745573	33.101641			
14705	10.460144	-0.561430	3.081910	-0.685668	0.331025	1.079854	-21.172556	-75.837553	31.139176			
14706	10.906043	-0.395907	3.141492	-0.637666	0.446433	1.516949	-18.985865	-75.880746	29.079481			
14707	10.996204	-0.122644	3.572562	-1.038489	0.559835	1.689571	-16.875687	-75.892328	27.151562			
14708	10.813523	0.384760	4.062081	-1.592814	0.864291	1.602036	-14.843638	-75.847292	25.335388			
14709	10.859692	0.908162	4.122791	-1.693513	1.287409	1.642833	-13.022954	-75.783699	23.692443			
14710	10.567884	1.391190	3.972788	-1.659856	1.687493	1.313649	-11.465321	-75.668382	22.238214			
14711	10.541429	1.724096	3.939314	-1.654945	1.962667	1.278804	-10.236763	-75.559316	21.052565			
14712	10.331359	1.905031	3.824037	-1.585182	2.102014	1.052757	-9.276986	-75.416720	20.075154			
14713	10.487337	1.879912	3.612388	-1.302635	2.102321	1.162324	-8.609614	-75.279966	19.353200			
14714	10.422562	1.642800	3.494609	-1.119947	1.870620	1.086269	-8.152799	-75.113185	18.820321			
14715	10.271293	1.452447	3.349905	-0.945619	1.691984	0.914558	-7.883773	-74.943264	18.451560			
14716	10.146423	1.175036	3.346460	-0.881397	1.412727	0.806006	-7.727903	-74.755170	18.166638			
14717	10.075677	0.877804	3.440253	-0.896575	1.107903	0.774745	-7.692174	-74.565464	17.972195			
14718	9.965802	0.622320	3.415863	-0.814227	0.866002	0.673472	-7.724931	-74.345280	17.821298			
14719	9.842727	0.376898	3.376252	-0.726062	0.639247	0.554783	-7.833488	-74.126920	17.728087			
14720	9.400828	0.260882	3.373956	-0.778164	0.509045	0.135297	-7.959731	-73.886442	17.650511			
14721	9.056372	0.113496	3.220110	-0.662003	0.380488	-0.230584	-8.138111	-73.661988	17.632071			
14722	8.779322	0.100417	3.321603	-0.794207	0.348756	-0.465650	-8.263782	-73.431295	17.589806			
14723	8.573773	0.040193	3.392927	-0.875382	0.278698	-0.637772	-8.351277	-73.218986	17.550401			
14724	8.269118	0.142881	3.302686	-0.857209	0.380975	-0.956818	-8.376909	-72.996683	17.481840			
14725	7.975517	0.147183	3.108436	-0.727851	0.399089	-1.291900	-8.400990	-72.817078	17.431863			
14726	7.944476	0.257924	3.215765	-0.830479	0.498352	-1.293047	-8.379630	-72.656426	17.376106			
14727	7.955111	0.460054	3.059499	-0.693478	0.726619	-1.336423	-8.357793	-72.537368	17.333784			
14728	8.091346	0.846236	3.235057	-0.864881	1.097622	-1.169842	-8.285785	-72.431385	17.250657			
14729	8.257155	1.010515	3.297324	-0.888429	1.267152	-0.999113	-8.216881	-72.347796	17.154710			
14730	8.463673	1.303591	3.251883	-0.816985	1.582247	-0.827317	-8.142476	-72.255631	17.041721			
14731	8.576956	1.354490	3.292261	-0.816299	1.638565	-0.708482	-8.085303	-72.177504	16.930612			
14732	8.710736	1.283635	3.206457	-0.668653	1.594832	-0.603160	-8.044434	-72.093233	16.818651			
14733	8.745401	1.201272	3.113670	-0.545454	1.532997	-0.594639	-8.046381	-72.029541	16.740720			
14734	8.726911	1.124863	3.107364	-0.519853	1.461005	-0.610774	-8.068045	-71.963251	16.688710			
14735	8.776621	1.069805	3.219839	-0.594245	1.401601	-0.527037	-8.149237	-71.919964	16.700070			
14736	8.730866	1.010024	3.251848	-0.619674	1.341577	-0.558561	-8.256104	-71.866119	16.730028			
14737	8.643730	1.022970	3.346325	-0.731191	1.343319	-0.613814	-8.411879	-71.830517	16.807248			
14738	8.673917	0.999466	3.352081	-0.717250	1.331549	-0.583130	-8.546205	-71.787005	16.873472			
14739	8.674883	0.992577	3.241884	-0.609286	1.349101	-0.617183	-8.725158	-71.766458	16.985452			
14740	8.808853	0.983802	3.293085	-0.612861	1.356066	-0.474934	-8.901503	-71.742947	17.106608			
14741	8.978326	1.007937	3.307349	-0.580333	1.404280	-0.312370	-9.105356	-71.740411	17.268495			
14742	9.090013	1.029915	3.480529	-0.713761	1.424265	-0.155299	-9.287202	-71.734057	17.420460			
14743	9.107555	1.092963	3.495729	-0.736737	1.496234	-0.138974	-9.491045	-71.748361	17.595995			
14744	9.012402	1.158373	3.600853	-0.878393	1.547023	-0.201939	-9.663219	-71.773237	17.742632			
14745	8.974069	1.261760	3.807697	-1.111228	1.625727	-0.182180	-9.816503	-71.843223	17.872902			
14746	8.885408	1.420044	3.908077	-1.267151	1.763378	-0.245824	-9.898800	-71.918088	17.918865			
14747	8.942100	1.604327	3.950951	-1.334177	1.945178	-0.190772	-9.952567	-72.033856	17.913686			
14748	9.083156	1.724224	4.094216	-1.461460	2.055414	-0.020923	-9.935827	-72.157317	17.810882			
14749	9.188090	1.809130	4.114839	-1.482466	2.142263	0.078664	-9.945915	-72.308829	17.693827			
14750	9.518274	1.883852	4.176843	-1.473979	2.234977	0.406152	-9.946597	-72.451951	17.529603			
14751	9.769995	1.946453	4.375941	-1.617405	2.296702	0.699186	-10.041101	-72.585004	17.403116			
14752	9.875613	2.110988	4.295646	-1.539999	2.489112	0.764140	-10.261005	-72.659783	17.264918			
14753	9.784629	2.230973	3.917171	-1.225363	2.662066	0.554196	-10.687054	-72.728705	17.277891			
14754	9.714236	2.400387	4.063813	-1.401876	2.837608	0.513272	-11.161301	-72.770786	17.330362			
14755	9.717116	2.311902	4.787681	-2.078088	2.715856	0.722714	-11.635886	-72.817718	17.411291			
14756	9.863841	2.106077	4.659057	-1.884983	2.568691	0.830917	-12.003697	-72.830047	17.385268			
14757	9.980951	1.451053	4.328592	-1.466213	1.985690	0.881649	-12.393898	-72.868410	17.355410			
14758	10.757862	0.599195	3.393052	-0.274189	1.299333	1.405154	-12.718450	-72.932812	17.221546			
14759	11.870669	0.266226	3.765604	-0.303850	1.051658	2.595580	-12.902264	-73.026476	17.111385			
14760	12.237775	0.043105	4.885991	-1.264096	0.808247	3.278786	-13.144893	-73.052920	16.979576			
14761	11.676467	-0.849248	4.654116	-1.141811	-0.089072	2.733632	-13.557154	-73.074441	16.987233			
14762	11.528885	-1.496792	4.348287	-0.858076	-0.702782	2.549873	-13.890660	-73.098634	16.881437			
14763	11.652572	-1.579470	4.284754	-0.772796	-0.749823	2.656346	-14.170458	-73.107542	16.817463			
14764	12.110708	-2.047301	3.078381	0.527593	-1.118277	2.789225	-14.460545	-73.104941	16.760027			
14765	13.097234	-2.459752	3.212182	0.684699	-1.440699	3.802069	-14.544790	-73.118609	16.786699			
14766	13.298529	-2.594465	3.445529	0.531105	-1.558957	4.070444	-14.561597	-73.028887	16.749986			
14767	12.332929	-2.429903	2.466153	1.213926	-1.442329	2.857494	-14.592141	-72.898219	16.755692			
14768	10.580648	-1.776628	2.298602	0.875378	-0.929694	1.084993	-14.528333	-72.774609	16.686437			
14769	8.794139	-1.001480	2.767802	-0.103101	-0.315564	-0.544983	-14.635061	-72.708435	16.831394			
14770	7.389212	-0.753053	3.100993	-0.827954	-0.185484	-1.808702	-14.963475	-72.667823	17.099871			
14771	6.785359	-0.618223	2.998428	-0.912782	-0.087607	-2.425334	-15.375001	-72.698733	17.507483			
14772	6.613099	-0.874789	2.912163	-0.877004	-0.343283	-2.595208	-15.778753	-72.776461	17.871303			
14773	6.942139	-1.490864	2.551020	-0.427200	-0.908861	-2.335047	-16.170550	-72.921300	18.305388			
14774	7.551702	-2.031471	2.708961	-0.404914	-1.385377	-1.663438	-16.589187	-73.065237	18.718674			
14775	7.912354	-2.563171	2.276719	0.111077	-1.858919	-1.393028	-17.083021	-73.195050	19.241854			
14776	8.132898	-2.618474	2.618990	-0.175756	-1.886022	-1.079330	-17.593593	-73.285969	19.760707			
14777	8.334690	-2.669435	2.681268	-0.197795	-1.901013	-0.861201	-18.149577	-73.365180	20.354459			
14778	8.601194	-2.614296	2.677642	-0.141812	-1.801143	-0.608309	-18.637929	-73.422288	20.852824			
14779	8.797318	-2.510734	2.709574	-0.140404	-1.662175	-0.418231	-19.077910	-73.470994	21.338231			
14780	8.798295	-2.248656	2.715269	-0.169732	-1.385929	-0.437748	-19.458009	-73.493363	21.723889			
14781	8.606670	-1.812119	2.621637	-0.163916	-0.955832	-0.686296	-19.827093	-73.532199	22.133683			
14782	8.857251	-1.377497	2.509169	-0.023128	-0.481339	-0.516878	-20.175229	-73.568712	22.476887			
14783	8.860978	-1.063451	2.440323	0.013753	-0.154387	-0.561797	-20.556074	-73.617966	22.854695			
14784	9.059893	-0.843947	2.253635	0.220919	0.103301	-0.441814	-20.941062	-73.665502	23.177350			
14785	9.085170	-0.718888	2.158724	0.295433	0.244355	-0.454793	-21.304637	-73.740318	23.501257			
14786	9.203055	-0.717375	2.269982	0.202311	0.265591	-0.312574	-21.616715	-73.813436	23.728437			
14787	9.200326	-0.898213	2.272486	0.188596	0.092597	-0.295713	-21.915875	-73.911769	23.949523			
14788	9.177545	-1.042849	2.289130	0.155406	-0.049532	-0.298049	-22.147507	-74.005446	24.072520			
14789	9.180571	-1.217300	2.331610	0.102144	-0.221336	-0.265874	-22.356381	-74.119304	24.210990			
14790	9.081655	-1.346532	2.299534	0.095318	-0.360323	-0.355493	-22.505528	-74.221858	24.275257			
14791	8.944155	-1.481039	2.116407	0.223612	-0.507200	-0.519504	-22.682901	-74.338982	24.409232			
14792	8.812623	-1.489720	2.127109	0.161765	-0.531372	-0.642212	-22.865772	-74.452889	24.562989			
