// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4938A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
38738	9.198493	-0.881490	3.078257	0.236887	-0.048674	-0.075825	-11.923156	-71.272310	96.342123			
38739	9.274153	-0.952224	3.155661	0.289855	-0.098480	0.025052	-12.023566	-71.239697	96.451708			
38740	9.376033	-0.945814	3.206680	0.269183	-0.107861	0.137351	-12.095846	-71.203991	96.536467			
38741	9.433862	-1.004448	3.117254	0.329850	-0.003974	0.168050	-12.164087	-71.162311	96.602497			
38742	9.485702	-0.974703	3.007012	0.305233	0.127343	0.180376	-12.222200	-71.107935	96.652050			
38743	9.341764	-0.944718	2.975243	0.279447	0.122826	0.032105	-12.289355	-71.046809	96.714298			
38744	9.197978	-0.969356	2.969356	0.305115	0.090721	-0.104022	-12.353554	-70.977876	96.779405			
38745	9.000409	-1.114040	3.060243	0.442169	-0.061338	-0.251607	-12.424641	-70.921208	96.864369			
38746	9.034607	-1.296956	3.180242	0.605621	-0.170655	-0.167779	-12.490254	-70.879570	96.958614			
38747	9.217854	-1.333932	3.277643	0.620782	-0.201041	0.039488	-12.559973	-70.858947	97.057554			
38748	9.434030	-1.306462	3.274001	0.580766	-0.122221	0.240900	-12.636880	-70.847987	97.152380			
38749	9.565394	-1.286451	3.205722	0.558125	-0.013042	0.341951	-12.707964	-70.847179	97.235572			
38750	9.634005	-1.271608	3.100298	0.548082	0.110152	0.372123	-12.746689	-70.844428	97.292080			
38751	9.529339	-1.252104	3.098054	0.532026	0.080197	0.271187	-12.747484	-70.841224	97.325925			
38752	9.397984	-1.229825	3.028583	0.522811	0.106456	0.123219	-12.725693	-70.832085	97.351806			
38753	9.405890	-1.209993	3.046516	0.502956	0.097102	0.134861	-12.660756	-70.808628	97.347761			
38754	9.418038	-1.222252	3.064591	0.517047	0.089325	0.152740	-12.551528	-70.776491	97.324657			
38755	9.402751	-1.253414	3.086325	0.553406	0.069176	0.147088	-12.386741	-70.737058	97.268552			
38756	9.191721	-1.203260	3.090773	0.521779	0.009867	-0.054815	-12.163890	-70.689073	97.172364			
