// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B49380
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
40738	9.411734	2.337089	2.123953	-0.185023	0.185541	0.111285	46.009351	-72.857396	-23.523930			
40739	9.319648	2.259557	2.149591	-0.204110	0.112195	0.012175	46.077218	-72.845137	-23.611718			
40740	9.294486	2.185326	2.281726	-0.302135	-0.008965	-0.000551	46.162620	-72.829928	-23.707293			
40741	9.320010	2.169304	2.423718	-0.417835	-0.088507	0.049384	46.304723	-72.824266	-23.872427			
40742	9.452393	2.124541	2.355129	-0.305949	-0.126224	0.152176	46.481903	-72.806012	-24.039350			
40743	9.417051	2.198118	2.387585	-0.370374	-0.078302	0.140695	46.667253	-72.771068	-24.184899			
40744	9.346169	2.254956	2.354364	-0.377554	-0.016631	0.078515	46.863524	-72.731096	-24.310634			
40745	9.488686	2.263033	2.410935	-0.391512	-0.061186	0.227833	47.060432	-72.701955	-24.477903			
40746	9.441772	2.176220	2.522514	-0.471146	-0.189389	0.186724	47.207965	-72.660894	-24.614997			
40747	9.212539	2.101964	2.637592	-0.607203	-0.283914	-0.025108	47.353098	-72.622035	-24.758223			
40748	8.974360	2.075218	2.807362	-0.810520	-0.354111	-0.223912	47.447245	-72.582422	-24.846225			
40749	8.905614	1.970968	2.775750	-0.761045	-0.434256	-0.318916	47.535220	-72.553585	-24.925426			
40750	8.929652	2.069586	2.718164	-0.735000	-0.330779	-0.285849	47.619614	-72.526195	-24.982189			
40751	8.984861	2.050799	2.650049	-0.650961	-0.334398	-0.251271	47.735868	-72.504510	-25.056993			
